10	0	10	11	1	10	1	11	1	1	11	1	11	10	10
1	1	1	1	11	10	1	1	10	1	10	1	1	1	1
10	0	10	10	0	10	10	10	10	0	0	10	10	10	10
0	11	1	10	10	10	10	10	10	0	1	1	0	1	10
1	1	1	1	11	11	1	1	1	1	10	10	1	1	10
0	10	10	0	1	11	10	10	10	10	10	10	1	10	1
0	1	1	1	1	1	10	1	1	1	1	1	1	1	10
1	10	0	0	1	10	1	10	1	1	10	1	1	1	10
10	10	0	10	0	10	11	11	10	10	10	10	10	1	10
10	10	1	10	1	10	10	10	0	10	10	1	0	1	1
1	10	10	1	1	1	10	10	10	1	1	1	11	0	10
10	1	1	10	10	10	1	10	11	10	1	10	1	10	10
11	1	10	1	10	1	10	1	10	1	1	10	11	10	10
1	1	10	1	1	1	10	11	1	10	1	1	1	1	1
1	10	11	1	1	10	10	1	10	10	10	10	10	10	10
1	1	1	1	10	11	0	10	1	11	1	1	1	10	1
11	11	11	1	1	10	10	11	1	10	0	10	10	10	10
10	1	10	11	1	1	10	10	1	1	10	11	10	10	11
1	1	10	10	1	1	1	1	11	11	1	11	10	1	1
1	1	1	0	1	1	1	11	1	1	1	11	1	11	1
1	11	10	1	1	1	1	10	1	10	10	1	10	10	10
1	10	10	10	10	1	10	10	0	0	10	1	10	10	11
1	1	1	1	1	10	0	1	1	10	1	11	1	1	1
10	1	10	1	1	10	11	10	1	10	1	11	10	10	10
1	1	1	1	1	10	11	10	1	10	0	1	1	0	10
10	11	1	1	1	0	10	10	11	10	11	1	10	0	1
1	0	1	1	1	1	1	10	10	1	1	10	10	1	0
1	1	11	1	11	10	1	10	1	1	1	1	11	1	11
1	10	1	1	1	10	10	1	10	10	11	11	1	11	11
1	0	1	1	0	0	10	1	10	10	0	0	1	10	1
10	1	10	10	11	11	1	1	10	1	11	11	10	0	1
10	10	10	11	11	11	10	10	1	10	10	1	10	1	1
1	1	1	11	11	11	10	10	1	0	10	11	0	10	11
